excerpt,type,personality,category,atomicnumber,symbol,elementname,period,group,groupname,color
ENFJs have definite values and opinions which they're able to express clearly and succintly.,ENFJ,The Protagonist,Diplomats,23,F10,Fact #10,7,D,Facts,#fde2e4
ENFPs are service oriented and are likely to put the needs of others above their own.,ENFP,The Campaigner,Diplomats,14,F1,Fact #1,3,C,Facts,#fde2e4
ENFPs are creative and energetic.,ENFP,The Campaigner,Diplomats,15,F2,Fact #2,4,C,Facts,#fde2e4
ENFPs need approval and appreciation from others.,ENFP,The Campaigner,Diplomats,16,F3,Fact #3,5,C,Facts,#fde2e4
ENFPs are cooperative and friendly.,ENFP,The Campaigner,Diplomats,17,F4,Fact #4,6,C,Facts,#fde2e4
ENFPs resist being controlled by others.,ENFP,The Campaigner,Diplomats,18,F5,Fact #5,7,C,Facts,#fde2e4
"ENFPs love life, seeing it as a special gift, and strive to make the most out of it.",ENFP,The Campaigner,Diplomats,19,F6,Fact #6,3,D,Facts,#fde2e4
"ENFPs are usually intense individuals, with highly evolved values.",ENFP,The Campaigner,Diplomats,20,F7,Fact #7,4,D,Facts,#fde2e4
ENFPs are project oriented and may go through several different careers during their lifetime.,ENFP,The Campaigner,Diplomats,21,F8,Fact #8,5,D,Facts,#fde2e4
"ENFPs are natural leaders, but do not like to control people.",ENFP,The Campaigner,Diplomats,22,F9,Fact #9,6,D,Facts,#fde2e4
"ENFPs usually will not abuse their abilities, because that would not jive with their value systems.",ENFP,The Campaigner,Diplomats,23,F10,Fact #10,7,D,Facts,#fde2e4
ENFPs like people who they can have a good laugh with. Make sure to support them emotionally and recognize their need for being validated and encouraged. They like things quirky and energetic.,ENFP,The Campaigner,Diplomats,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ENFJs like people who are caring and give them the same love they receive. Make sure to go on lots of adventures and talk about the future. They like things deep and reflective.,ENFJ,The Protagonist,Diplomats,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ESFPs like people who give/teach them something new every day. Make sure to recognize their need to be active and unrestrained. just be ready to give them a reality check if needed. they like things outgoing and in the moment.,ESFP,The Entertainer,Explorers,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ESFJs like people who give back and have a concrete path in life. Make sure to recognize their generous nature a lot. They like things empathetic.,ESFJ,The Consul,Sentinels,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
"ENTJs like people who have a drive and honesty, those who want to develop themselves. Make sure to be warm to them but not clingy, nice but not a doormat. They like thingspowerful and feeling like they're in good company.",ENTJ,The Commander,Analysts,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ESTPs like people who energize them and are ready to do things in the spur of the moment. Make sure to give them dependence. They like things honest and exciting.,ESTP,The Entrepreneur,Explorers,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ESTJs like people who are careful and decisive. Make sure to give them your full attention but not in a clingy way. Teach them to depend on you as many are reluctant to do so. they things real and fiery.,ESTJ,The Executive,Sentinels,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ENTPs like people who have interesting things to offer. Make sure to know how to be entertaining but serious when the situation calls for it. They like things fun and flexible.,ENTP,The Debater,Analysts,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ISTJs like people who have a natural presence in the room. Make sure to understand the complex working of the ISTJ and be ready to support them. They like things witty and consistent.,ISTJ,The Logistician,Sentinels,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
"ISFJs like people who can give them what they want, and a little more. Make sure to give ISFJ lots of love and opportunities for discussion. They like things honest and friendly.",ISFJ,The Defender,Sentinels,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ISTPs like people who are relatively serious but know the time and place to relax. Make sure to acknowledge their projects and be good with talking AND silence. They like things thoughtful and practical.,ISTP,The Virtuoso,Explorers,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
ISFPs like who aren't afriad to show their flaws yet work on them everyday. Make sure to give them happiness through your actions as well as check ups on them! They like things playful and creative.,ISFP,The Adventurer,Explorers,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
"INTJs like people who have similar motivations and mindsets. Make sure to be diplomatic, more on the assertive side. They like things intense and communicated.",INTJ,The Architect,Analysts,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
"INTPs operate on a different frequency than most people, so respect it or leave. Make sure to be respectful in terms of planning and management. They like things casual and fun.",INTP,The Logician,Analysts,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
INFJs like people who they feel emotionally right and safe with. Make sure to facilitate trust and a mutually beneficial friendship with them. They like things open and authentic.,INFJ,The Advocate,Diplomats,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
INFPs like people either very similar them or the complete opposite. Make sure to give INFP lots of support and love in exchange for what they give to you! They like things emotional and chill.,INFP,The Mediator,Diplomats,24,Bf,How To\nBefriend Them,3,E,How-to's,#c5dedd
"With your comfort level. INFPs are those who see what you're feeling. If you show any doubt or hesitancy, they may pick it up. If you have faith in them and yourself, they will also notice. Be at ease with yourself. Feel comfortable in your environment and with them. A state allowing progress. This aura of quiet confidence is impressive to an INFP.",INFP,The Mediator,Diplomats,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your willingness. INTPs respect those willing to take the road less traveled. They want someone logical, but not to the point where they're ruthless critics. Open your mind and juggle different viewpoints. Be honest but not a doormat. Show them that you care about the things that matter and are willing to entertain multiple viewpoints. INTPs are impressed by this.",INTP,The Logician,Analysts,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your flexibility. ESTPs are masters of improvisation. They can even foresee events and act to prepare. Adapting to change is what ESTPs are naturally good at. Do not see change for the sake of change, but be comfortable with it. Be ready. Seeing others change plans with ease and then working to prevent fallbacks impresses ESTPs.",ESTP,The Entrepreneur,Explorers,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
With your mindset. ENFPs are emotional and compassionate individuals who place emphasis on one's mind. Show them your positive or otherwise good mindset. Make sure that you are true to yourself and acting from your heart. Don't be afraid to open up and show yourself to the world. An ENFP would be impressed by your willingness to see.,ENFP,The Campaigner,Diplomats,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your acceptance. ISTJs view pain and inconvenience as a fact of life. They are annoyed when others overblow \& issues. Being accepting of one's fate and moving on is important to them. When faced with adversity, persevere. Leave some moments for self- reflection as well. Taking note of obstacles and moving on impresses an ISTJ.",ISTJ,The Logistician,Sentinels,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your clarity. ENTJs are strong, straightforward individuals who like transparen people. Be honest with yourself and others, but not to the point of self-deprecation. Be fair in your judgment and put your full effort into tasks. Better yet, be efficient and independent, dream big. An ENTJ would be impressed by your honesty and work ethic.",ENTJ,The Commander,Analysts,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your motivation, ESFJs place emphasis on doing every task, even the ones hard to do Moods are contagious, especially for ESFJs. Approa what you start. Motivate others too. Be the friend who will get Being able to harness moods and motivations impressed ESFJs.",ESFJ,The Consul,Sentinels,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
With your power. ISFJs care for everyone and understand the meaning of the ability to make an impact. Recognize that you have power over your choices. Choose your path every day. Be helpful and charitable when given the opportunity. Use your heart and stick up for the disadvantages. ISFJs are impressed by the ability to make selfless choices.,ISFJ,The Defender,Sentinels,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your knowledge. INTJs view insecurities and self- deprecation in a negative light. Therefore, you want to be confident (but not cocky) when dealing with them. Talk about things that interest you, ask questions when they share their interest. Understand that mastery and skillbuilding is important to them. INTJs are impressed by smart individuals.",INTJ,The Architect,Analysts,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your passion. INFJs care about harmony and justice. They are unafraid to delve into deeper, harder topics. Show your willingness to be with them. Be open-minded and inviting to any journeys you may go on. Show that you care deeply around things, that you are more than a stereotype. Be intellectually present. INFJs are impressed by such passionate individuals.",INFJ,The Advocate,Diplomats,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your direction. ISFPs have deep passions and dreams. If you have a life path or feel especially determined about something, ISFPs will find that impressive. Don't be static, actively work on something. Always Strive for progress being careful not to get caught up in the small details. Talk a little about yourself and have confidence.",ISFP,The Adventurer,Explorers,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your realness. ENTPs Know the importance of saying what you feel and applying fairness. The ability to be unrestrained catches their attention. Be curious and present when asking questions. Be directly involved in brainstorming and conceptualizing, making sure to follow through on projects. Just don't overshadow them!",ENTP,The Debater,Analysts,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your readiness. ESFPs like being prepared and ready to go at all times. Do not hold them back. Allow them to do things in their style. Let them express themselves and they will give you the same freedom. Be open-minded to last-minute changes. This is not a""checklist"" type of preparation. ESFPs are impressed by those who are ready to do anything.",ESFP,The Entertainer,Explorers,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your ""presentness."" ENFJs love personal connection and the feeling of being cared for. They'll invest a lot of time into you, so once you do the same, they will notice. Be nearby and available but not to the point of crowding them. Show them interesting perspectives and help them get things done. Do small things and acts of charity. ENFJs are impressed by this action-orientedness.",ENFJ,The Protagonist,Diplomats,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your like-mindedness. ISTPs are self-sufficient and therefore are accepting of all. However, to impress them, you will often need to share the qualities they possess. Being honest, grounded, practical, and flexible will impress ISTPs. Be direct and take the lead without being boisterous. Rely on people but in a low-key way. Work hard and play hard.",ISTP,The Virtuoso,Explorers,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"With your standards. ESTJs are hard-working and hold themselves to high standards. Do not be content with ""just passing."" Put effort into what makes you happy and expect good things from others. Be an effective and clear leader. Make sure to consider many viewpoints to be fair. ESTJs find those with high integrity and standards impressive.",ESTJ,The Executive,Sentinels,25,Im,How To\nImpress Them,4,E,How-to's,#c5dedd
"how understanding and don't excessively question them. They may behave in ways you don't understand. Embrace it, ask them about it, and be genuinely interested.",INFJ,The Advocate,Diplomats,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Show them that you arenÕt afraid to be vulnerable.,INFJ,The Advocate,Diplomats,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
Put away your phone and be present in the interactions. They're happy doing almost anything as long as their time spent with someone is quality time bonding and making memories.,ISFJ,The Defender,Sentinels,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"INTPs are brainiac. So if you want to flirt with an INTP, make sure your seduction is smart and doesn't sound too harsh or cocky.",INTP,The Logician,Analysts,27,Fl,How to Flirt\nWith Them,5,E,How-to's,#c5dedd
"Be future focused, be your own person. Give them an insight into your own world while also sharing theirs. Show an enthusiasm for discipline and hard work. Develop together, and don't leave them behind.",ENTJ,The Commander,Analysts,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ENTJ,The Commander,Analysts,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Let your actions speak louder than words. Be a person who follows through, is committed, and positive. Sharing their energy and life goals is a source of happiness.",ENFJ,The Protagonist,Diplomats,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ENFJ,The Protagonist,Diplomats,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Don't be like one of them. Have unique hobbies, interests, etc. Show them off, loud and proud! Don't fall in to peer pressure and carry this mindset when talking to an ENxP.",ENFP,The Campaigner,Diplomats,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ENFP,The Campaigner,Diplomats,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Be present and accommodating with their lifestyle. They do not need a lot to feel valued, small gestures mean a lot. Periodic, loyal displays of affection are important.",ISTP,The Virtuoso,Explorers,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"Showing support for their experiences and taking a genuine interest Is important. To them, happiness is companionship and loyalty.",ISTP,The Virtuoso,Explorers,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
ISxJs may feel dispondent about the world. Coloring their vision with some optimism by reassuring them and giving meaningful.,ISTJ,The Logistician,Sentinels,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"If you want to flirt with an ISTJ, avoid giving hints. Tell them exactly what you like about them. You can say something like ""I really admire how smart you are"" or ""I think it's really cool how devoted to your family you are."" Keep your promises.",ISTJ,The Logistician,Sentinels,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Challenge them physically and mentally. Go accomplish their physical ideas with them and share new experiences, like taking a tough hike.",ESTP,The Entrepreneur,Explorers,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
ESTPs are attracted to people who are confident and have a bit of a mystery to their personality. ,ESTP,The Entrepreneur,Explorers,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"how understanding and don't excessively question them. They may behave in ways you don't understand. Embrace it, ask them about it, and be genuinely interested.",INTJ,The Architect,Analysts,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"""Hard to get""",INTJ,The Architect,Analysts,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Feed their curiosity and desires in this world. They have a lot of pent-up ideas waiting to be explored, fueled by internal principles.  If you let these ideas come to life, they will be so happy seeing their vision become tangible. Don't be afraid to pry a little deeper (with consent, ofc). To them, happiness is exploration and emotion.",INFP,The Mediator,Diplomats,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"Shy, subtle, coy.",INFP,The Mediator,Diplomats,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Be future focused, be your own person. Give them an insight into your own world while also sharing theirs. Show an enthusiasm for discipline and hard work. Develop together, and don't leave them behind.",ESTJ,The Executive,Sentinels,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ESTJ,The Executive,Sentinels,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Let your actions speak louder than words. Be a person who follows through, is committed, and positive. Sharing their energy and life goals is a source of happiness.",ESFJ,The Consul,Sentinels,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ESFJ,The Consul,Sentinels,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Don't be like one of them. Have unique hobbies, interests, etc. Show them off, loud and proud! Don't fall in to peer pressure and carry this mindset when talking to an ENxP.",ENTP,The Debater,Analysts,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ENTP,The Debater,Analysts,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Be present and accommodating with their lifestyle. They do not need a lot to feel valued, small gestures mean a lot. Periodic, loyal displays of affection are important.",ISFP,The Adventurer,Explorers,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
"Shy, subtle, coy.",ISFP,The Adventurer,Explorers,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Being able to stimulate them based on our interests is a Golden Egg. Video games, history books and other sources of information also keep them from being bored.",INTP,The Logician,Analysts,26,Hp,How to Make\nThem Happy,6,E,How-to's,#c5dedd
Shower them with gifts.,ISFJ,The Defender,Sentinels,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Challenge them physically and mentally. Go accomplish their physical ideas with them and share new experiences, like taking a tough hike.",ESFP,The Entertainer,Explorers,26,Hp,How to Make\nThem Happy,5,E,How-to's,#c5dedd
Direct and obvious.,ESFP,The Entertainer,Explorers,27,Fl,How to Flirt\nWith Them,6,E,How-to's,#c5dedd
"Be trustworthy and loyal, avoid lies at all cost, slow and steady, learn their likes/dislikes, invite them out.",ISTJ,The Logistician,Sentinels,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Reassure them in times of need, be kind and caring, talk about family, ask for help, be their friend first, be warm and caring, give them time.",ISFJ,The Defender,Sentinels,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Be hardworking, know what you want, tell them about yourself, be honest and loyal.",ESTJ,The Executive,Sentinels,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Flirt, joke around, have a carefree attitude, be adventurous, give them space, suggest new things, be careful of talking about commitment, avoid being clingy.",ISTP,The Virtuoso,Explorers,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Make yourself noticed, be ambitious, make them laugh, be friends first, take your time, show respect.",ENFJ,The Protagonist,Diplomats,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Become friends first, be yourself, start conversations, be patient, donât rely on them to confess their feelings, do it yourself.",INTJ,The Architect,Analysts,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Debate with them, voice your opinions but not without backing them up, give them freedom, surprise them.",ENTP,The Debater,Analysts,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Be romantic, be mysterious, talk about your dreams, boost their self esteem, be sensitive about their needs.",ENFP,The Campaigner,Diplomats,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Show off your intellectual side, be direct, make them laugh, be confident, give them space.",INTP,The Logician,Analysts,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Take them out on adventures, do something new every time you meet, donât talk about commitments early, donât be afraid of getting physical.",ESTP,The Entrepreneur,Explorers,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Win over their freinds, look good, take them somewhere, talk about stability and family.",ESFJ,The Consul,Sentinels,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Be funny/doorky, support them, compliment them, give them freedom, acknowledge their creative works.",ISFP,The Adventurer,Explorers,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Listen to them, read their favorite book, open up yourself, show them that theyâre special to you, give them emotional support and feedback, donât be afraid of being intense.",INFP,The Mediator,Diplomats,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Be deep, try to open them up bit by bit while at the same time respecting their walls, show interest in their interests, listen to them.",INFJ,The Advocate,Diplomats,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Donât be emotionally clingy, be independent, donât be fake, run errands together.",ENTJ,The Commander,Analysts,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"Flirt, joke around, be exciting and interesting, touch them.",ESFP,The Entertainer,Explorers,28,At,How To\nAttract Them,7,E,How-to's,#c5dedd
"""It's not your fault, you don't deserve to feel this way.""",INFJ,The Advocate,Diplomats,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""You've got so much potential, just keep your head up!""",INFP,The Mediator,Diplomats,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Everything's going to be alright man!""",ENFP,The Campaigner,Diplomats,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""What's wrong? Tell me everything. I'm here for you.""",ENFJ,The Protagonist,Diplomats,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Okay... Okay... How can we fix this?""",INTP,The Logician,Analysts,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Come on, there's got to be something that'll cheer you up.""",ENTP,The Debater,Analysts,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Don't worry about it, don't worry about anything.""",ISFP,The Adventurer,Explorers,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""I heard there's a really good karaoke bar in town.""",ESFP,The Entertainer,Explorers,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""What happened this time?""",ISTP,The Virtuoso,Explorers,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Alright... So you're sad, why is that?""",ESTP,The Entrepreneur,Explorers,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""What the fuck are feelings.""",ISTJ,The Logistician,Sentinels,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""What the fucking shit fuck are feelings and why do you feel them?""",ESTJ,The Executive,Sentinels,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""I'm really sorry, is there anything I can do to make it better?""",ISFJ,The Defender,Sentinels,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""I'm here to help you feel better. Let's get started.""",ESFJ,The Consul,Sentinels,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""You don't have to be sad, we'll get ice cream or something.""",ENTJ,The Commander,Analysts,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
"""Are those... Tears? Jesus Christ""",INTJ,The Architect,Analysts,29,Cf,How To\nComfort Them,3,F,How-to's,#c5dedd
Quality Time (41.32 %),INTP,The Logician,Analysts,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (29.61%),ENTP,The Debater,Analysts,35,Ll,Love Language,5,G,Love,#dbe7e4
Physical Touch (24.48%),ISTP,The Virtuoso,Explorers,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (30.77%),ESTP,The Entrepreneur,Explorers,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (37.7%),ISFJ,The Defender,Sentinels,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality TIme (30.77%),ESFJ,The Consul,Sentinels,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (35.67%),INFJ,The Advocate,Diplomats,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (32.28%),ENFJ,The Protagonist,Diplomats,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (24%),ISFP,The Adventurer,Explorers,35,Ll,Love Language,5,G,Love,#dbe7e4
Physical Touch (37.5%),ESFP,The Entertainer,Explorers,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (35.19%),INFP,The Mediator,Diplomats,35,Ll,Love Language,5,G,Love,#dbe7e4
Words of Affirmation (29.97%),ENFP,The Campaigner,Diplomats,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (36.17%),ISTJ,The Logistician,Sentinels,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (36.36%),ESTJ,The Executive,Sentinels,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (38.39%),INTJ,The Architect,Analysts,35,Ll,Love Language,5,G,Love,#dbe7e4
Quality Time (32.28%),ENTJ,The Commander,Analysts,35,Ll,Love Language,5,G,Love,#dbe7e4
"""I'm voting for Trump.""",INFP,The Mediator,Diplomats,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""I'm voting for Trump.""",ENFP,The Campaigner,Diplomats,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""You're being too emotional.""",INFJ,The Advocate,Diplomats,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""You're being too emotional.""",ENFJ,The Protagonist,Diplomats,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Because I said so.""",INTP,The Logician,Analysts,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Because I said so.""",ENTP,The Debater,Analysts,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Everything's out of control.""",INTJ,The Architect,Analysts,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Everything's out of control.""",ENTJ,The Commander,Analysts,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""You have no choice.""",ISFP,The Adventurer,Explorers,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""You have no choice.""",ESFP,The Entertainer,Explorers,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Do it my way.""",ISTP,The Virtuoso,Explorers,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Do it my way.""",ESTP,The Entrepreneur,Explorers,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""I don't need you.""",ISFJ,The Defender,Sentinels,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""I don't need you.""",ESFJ,The Consul,Sentinels,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Let's just wing it.""",ISTJ,The Logistician,Sentinels,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"""Let's just wing it.""",ESTJ,The Executive,Sentinels,31,Bp,How To Raise\nTheir Blood\nPressure,5,F,How-to's,#c5dedd
"Taking interest in their hobbies and life will make them feel happy and valued. To them, happiness is commitment and curiosity.",INFJ,The Advocate,Diplomats,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Give them a day at home. No plans, no where to go, no one to see. The day is theirs. They have no intention of getting into real clothesâpajamas will do just fine. They'll start a coffee and find an item to occupy our minds. Book (maybe even two, for options), phone, laptop. The time is theirs. ",INTP,The Logician,Analysts,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"To them, happiness is sharing experiences and values while also being different.",ENTJ,The Commander,Analysts,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Top it off with genuine shows of affection. No need for constant love. Just be a solid person who has a love for life, let it be known. To them, happiness is sharing personalities.",ENFJ,The Protagonist,Diplomats,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Indulge in new experiences with them. Talk about life and inject something new into the conversation. To them, happiness is being unrestrained and free from expectations.",ENFP,The Campaigner,Diplomats,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Showing support for their experiences and taking a genuine interest Is important. To them, happiness is companionship and loyalty.",ISTP,The Virtuoso,Explorers,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"compliments makes them feel happier. Be true and honest, and make their day a little brighter through acts of service helps a lot. Don't overwhelm them, make them feel comfortable. To them, happiness is intimate interaction and openness.",ISTJ,The Logistician,Sentinels,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Challenge them mentally, keep up with their quick minds. Use banter, explore challenging situations, and periodically reassure them. In total, happiness to them is action with experience.",ESTP,The Entrepreneur,Explorers,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Taking interest in their hobbies and life will make them feel happy and valued. To them, happiness is commitment and curiosity.",INTJ,The Architect,Analysts,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
Appreciate your INFPâs originality and make an effort to put it into words to make sure they know you recognize their uniqueness.,INFP,The Mediator,Diplomats,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"To them, happiness is sharing experiences and values while also being different.",ESTJ,The Executive,Sentinels,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Top it off with genuine shows of affection. No need for constant love. Just be a solid person who has a love for life, let it be known. To them, happiness is sharing personalities.",ESFJ,The Consul,Sentinels,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Indugle in new experiences with them. Talk about life and inject something new into the conversation. To them, happiness is being unrestrained and free from expectations.",ENTP,The Debater,Analysts,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Showing support for their experiences and taking a genuine interest Is important. To them, happiness is companionship and loyalty.",ISFP,The Adventurer,Explorers,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Compliments makes them feel happier. Be true and honest, and make their day a little brighter through acts of service helps a lot. Don't overwhelm them, make them feel comfortable. To them, happiness is intimate interaction and openness.",ISFJ,The Defender,Sentinels,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
"Challenge them mentally, keep up with their quick minds. Use banter, explore challenging situations, and periodically reassure them. In total, happiness to them is action with experience.",ESFP,The Entertainer,Explorers,32,Hp,How to Make\nThem Happy,6,F,How-to's,#c5dedd
